"";"NeighborhoodRaw";"ApartmentTypeRaw";"HouseType";"SquareMeters";"Price";"PricePerSquareMeters";"YearBuilt";"FloorRaw";"ElevatorRaw";"ConditionRaw";"EnergyClassificationRaw";"NeighborhoodKeys";"NeighborhoodFinalized";"ApartmentTypeUniformized";"NumberOfRooms";"SaunaDummy";"ownFloor";"maxFloor";"ElevatorDummy";"ConditionUnrecordedDummy";"ConditionAdequateDummy";"ConditionGoodDummy";"AgeOfTheBuilding";"EnergyClassificationLetterClass";"EnergyClassificationADummy";"EnergyClassificationBDummy";"EnergyClassificationCDummy";"EnergyClassificationDDummy";"EnergyClassificationEDummy";"EnergyClassificationFDummy";"EnergyClassificationUnrecordedDummy";"ownFloor.fixed";"TwoRoomsDummy";"ThreeRoomsDummy";"FourRoomsOrMoreDummy"
"2473";"Lauttasaari";"3h + k";"kt";74;467663;6320;1965;"1/3";"ei";"hyvä";"F";"lauttasaari";"Lauttasaari";"3h+k";3;0;1;3;0;0;0;1;53;"F";0;0;0;0;0;1;0;1;0;1;0
"2474";"Kulosaari";"3h, k,kph,vaate...";"kt";75,5;390000;5166;1961;"1/4";"on";"hyvä";"";"kulosaari";"Kulosaari";"3h+k+kph+vaate...";3;0;1;4;1;0;0;1;57;"";0;0;0;0;0;0;1;1;0;1;0
"2475";"Vuosaari";"3h, k, kph, las...";"kt";77,5;235000;3032;1965;"2/4";"on";"hyvä";"";"vuosaari";"Vuosaari";"3h+k+kph+las...";3;0;2;4;1;0;0;1;53;"";0;0;0;0;0;0;1;2;0;1;0
"2476";"Maunula";"3 h, avok., kph...";"kt";78,5;390000;4968;2013;"3/3";"on";"hyvä";"B2007";"maunula";"Oulunkylä";"3h+avok.+kph...";3;0;3;3;1;0;0;1;5;"B";0;1;0;0;0;0;0;3;0;1;0
"2477";"Viikinmäki";"3h, k, s";"kt";79,5;311000;3912;2014;"1/3";"ei";"hyvä";"";"viikinmäki";"Viikki";"3h+k+s";3;1;1;3;0;0;0;1;4;"";0;0;0;0;0;0;1;1;0;1;0
"2478";"Länsi-pakila";"3h, k, rt, kph,...";"rt";79,5;320000;4025;1989;"1/1";"ei";"hyvä";"";"länsi-pakila";"Pakila";"3h+k+rt+kph+...";3;0;1;1;0;0;0;1;29;"";0;0;0;0;0;0;1;1;0;1;0
"2479";"Tapaninkylä";"3h+k+s";"rt";85;340000;4000;2000;"1/1";"ei";"hyvä";"E2018";"tapaninkylä";"Tapaninkylä";"3h+k+s";3;1;1;1;0;0;0;1;18;"E";0;0;0;0;1;0;0;1;0;1;0
"2480";"Kruununhaka";"3h, halli, k, k...";"kt";113;852500;7544;1926;"3/7";"on";"hyvä";"C2007";"kruununhaka";"Kruununhaka";"3h+halli+k+k...";3;0;3;7;1;0;0;1;92;"C";0;0;1;0;0;0;0;3;0;1;0
"2481";"Pitäjänmäki";"3h, k, kph, eri...";"rt";143;430000;3007;2001;"1/2";"ei";"hyvä";"";"pitäjänmäki";"Pitäjänmäki";"3h+k+kph+eri...";3;0;1;2;0;0;0;1;17;"";0;0;0;0;0;0;1;1;0;1;0
"2482";"Punavuori";"3h, avok, kph, vh";"kt";63;453000;7190;1959;"2/5";"on";"hyvä";"F2015";"punavuori";"Punavuori";"3h+avok+kph+vh";3;0;2;5;1;0;0;1;59;"F";0;0;0;0;0;1;0;2;0;1;0
"2483";"Roihuvuori";"3h, k, kph, par...";"kt";68;206000;3029;1965;"3/8";"on";"hyvä";"E";"roihuvuori";"Herttoniemi";"3h+k+kph+par...";3;0;3;8;1;0;0;1;53;"E";0;0;0;0;1;0;0;3;0;1;0
"2484";"Pihlajisto";"3h, k, kph, vh,...";"kt";70;145000;2071;1978;"4/4";"ei";"hyvä";"";"pihlajisto";"Malmi";"3h+k+kph+vh+...";3;0;4;4;0;0;0;1;40;"";0;0;0;0;0;0;1;4;0;1;0
